,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot Cases Per Million,Deaths per Million,Total Tests,Tests per Million,Population
0,United States of America,32224139.0,0.0,578993.0,0.0,24770980.0,0.0,6874166.0,9759.0,96905.0,1741.0,1277782.0,332532050.0
1,India,14291917.0,4177.0,174335.0,0.0,12547866.0,3888.0,1569716.0,8944.0,10277.0,125.0,189459.0,1390679153.0
2,Brazil,13758093.0,0.0,365954.0,0.0,12236295.0,0.0,1155844.0,8318.0,64366.0,1712.0,133802.0,213749436.0
3,France,5187879.0,0.0,100073.0,0.0,4008035.0,0.0,1079771.0,5924.0,79341.0,1530.0,1086102.0,65387466.0
4,Russia,4675153.0,0.0,104398.0,0.0,4301448.0,0.0,269307.0,2300.0,32025.0,715.0,854204.0,145983862.0
5,United Kingdom,4380976.0,0.0,127191.0,0.0,4113338.0,0.0,140447.0,351.0,64268.0,1866.0,2051201.0,68167060.0
6,Turkey,4086957.0,0.0,35031.0,0.0,3535040.0,0.0,516886.0,3080.0,48052.0,412.0,503547.0,85052838.0
7,Italy,3826156.0,0.0,115937.0,0.0,3200196.0,0.0,510023.0,3417.0,63356.0,1920.0,897557.0,60391595.0
8,Spain,3396685.0,0.0,76882.0,0.0,3123268.0,0.0,196535.0,2143.0,72627.0,1644.0,946897.0,46769075.0
9,Germany,3095016.0,0.0,80141.0,0.0,2752000.0,15900.0,262875.0,4662.0,36848.0,954.0,627860.0,83995236.0
10,Poland,2642242.0,0.0,60612.0,0.0,2238638.0,0.0,342992.0,3443.0,69875.0,1603.0,352651.0,37813871.0
11,Argentina,2629156.0,0.0,58925.0,0.0,2300232.0,0.0,269999.0,3900.0,57756.0,1294.0,217551.0,45522155.0
12,Colombia,2602719.0,0.0,67199.0,0.0,2432061.0,0.0,103459.0,4299.0,50726.0,1310.0,265371.0,51309459.0
13,Mexico,2295435.0,4189.0,211213.0,401.0,1820959.0,3093.0,263263.0,4798.0,17657.0,1625.0,48888.0,129998266.0
14,Iran,2168872.0,0.0,65680.0,0.0,1749041.0,0.0,354151.0,4601.0,25565.0,774.0,165719.0,84837813.0
15,Ukraine,1921244.0,17479.0,39096.0,438.0,1465820.0,12054.0,416328.0,177.0,44140.0,898.0,202686.0,43525906.0
16,Peru,1681063.0,0.0,56149.0,0.0,1602034.0,0.0,22880.0,2603.0,50433.0,1685.0,306798.0,33332642.0
17,Czech Republic,1593847.0,0.0,28229.0,0.0,1483559.0,0.0,82059.0,1076.0,148615.0,2632.0,1408167.0,10724658.0
18,Indonesia,1589359.0,0.0,43073.0,0.0,1438254.0,0.0,108032.0,,5763.0,156.0,49527.0,275798600.0
19,South Africa,1562931.0,0.0,53571.0,0.0,1488060.0,0.0,21300.0,546.0,26094.0,894.0,171290.0,59896382.0
20,Netherlands,1378145.0,0.0,16861.0,0.0,1150702.0,0.0,210582.0,772.0,80289.0,982.0,657893.0,17164784.0
